,Date,Total Revenue/Income,Total Operating Expense,Operating Income/Profit,EBITDA,EBIT,Income/Profit Before Tax,Net Income From Continuing Operation,Net Income,Net Income Applicable to Common Share,EPS (Earning Per Share)
0,Sep-24,2000.70,1677.50,2026.10,367.80,294.60,286.30,209.40,209.40,209.40,2.18
1,Jun-24,2130.53,1859.97,194.95,253.48,177.87,179.80,125.57,118.10,118.10,1.23
2,Mar-24,2169.92,1695.44,133.06,199.24,122.04,113.90,13.28,13.35,13.35,0.130
3,Dec-23,2045.67,1836.50,133.03,181.82,105.68,82.04,53.24,58.54,58.54,0.610
4,Sep-23,2437.79,2105.04,255.52,277.94,200.71,184.15,129.80,122.96,122.96,1.28
5,Jun-23,1983.80,1825.02,80.26,45.41,-33.11,0.650,3.77,-53.42,-53.42,-0.560
6,Mar-23,2112.11,1960.38,68.39,-47.05,-130.39,-46.98,-72.98,-196.03,-196.03,-2.04
7,Dec-22,2111.17,1767.42,252.50,190.61,99.36,86.44,24.54,24.32,24.32,0.248
8,Sep-22,2028.40,1731.11,215.74,268.20,186.65,177.03,112.94,112.89,112.89,1.18
9,Jun-22,1845.74,1687.78,157.96,254.63,176.83,168.73,106.60,106.60,106.60,1.11
10,Mar-22,2322.90,1903.95,318.75,444.85,199.00,339.15,181.93,181.93,181.97,1.89
11,Dec-21,2112.64,1692.78,404.46,476.45,416.78,414.07,298.98,298.73,298.73,3.11
12,Sep-21,1978.79,722.73,352.38,425.13,306.35,359.04,266.08,270.16,270.16,2.81
13,Jun-21,1774.98,1489.95,285.03,364.14,310.14,303.25,208.78,213.74,213.74,2.23
14,Mar-21,1965.83,1487.72,478.11,550.65,285.73,438.79,272.34,275.70,275.75,2.87
15,Dec-20,2729.36,2078.90,650.46,659.07,659.07,591.75,398.01,399.91,399.91,4.16
16,Sep-20,1722.70,1474.17,151.43,233.83,96.84,167.38,93.41,94.07,94.07,0.980
17,Jun-20,1312.03,1163.95,148.08,134.02,134.02,57.65,29.28,30.37,30.37,0.320
18,Mar-20,1951.12,2298.50,-475.26,-640.74,-911.34,-803.05,-765.85,-766.73,-766.73,-7.98
19,Dec-19,2048.65,1548.43,500.22,531.70,596.41,510.83,348.59,349.43,349.43,3.64
20,Sep-19,2122.01,1487.41,463.98,523.29,580.48,504.18,412.09,413.23,413.23,4.30
21,Jun-19,2008.12,1417.36,590.76,765.66,833.84,744.34,529.76,530.57,530.57,5.52
22,Mar-19,2019.24,1465.76,489.68,438.72,496.27,441.87,292.46,291.67,291.67,3.04
23,Dec-18,2166.77,1473.94,692.83,805.27,692.83,811.17,562.76,562.38,562.38,5.86
24,Sep-18,1975.86,1358.98,616.88,643.64,616.88,648.52,386.10,386.67,386.67,4.03
25,Jun-18,1772.03,1264.02,508.01,528.15,508.01,532.94,325.88,326.38,326.38,0
26,Mar-18,1725.33,1223.83,501.50,385.95,501.50,511.11,313.74,314.14,314.14,2.40
27,Dec-17,1838.07,1294.10,543.97,545.80,543.97,547.67,321.72,322.21,322.21,0
28,Sep-17,1582.05,1131.99,450.06,774.05,450.06,773.96,590.80,591.17,591.17,4.75
29,Jun-17,1540.25,1086.98,453.27,471.30,453.27,485.86,251.44,251.58,251.58,0
30,Mar-17,1528.02,1049.88,478.14,1558.52,478.14,1660.56,1514.26,1515.55,1515.55,3.04
31,Dec-16,1639.12,1148.23,490.89,449.87,490.89,0,0,250.81,0,0
32,Sep-16,1695.44,471.00,455.63,443.96,410.37,407.41,0,238.38,0,2.48
33,Jun-16,1571.62,486.05,428.04,412.15,391.15,380.72,0,216.96,0,0
34,Mar-16,1521.84,440.56,390.03,538.08,517.08,383.85,0,226.56,0,2.36
35,Dec-15,1595.08,482.67,410.07,459.77,438.77,434.60,0,275.00,0,0
36,Sep-15,1384.90,446.43,334.85,381.54,364.71,358.58,0,247.40,0,2.20
37,Jun-15,1339.86,434.71,294.39,380.64,363.81,360.84,0,243.76,0,0
38,Mar-15,1347.10,403.08,323.97,318.04,301.21,306.89,0,230.77,0,2.40
39,Dec-14,1363.72,381.79,336.36,435.60,418.77,413.72,0,308.61,0,0
40,Sep-14,1117.82,340.45,307.07,373.21,360.69,357.00,0,227.55,0,2.00
41,Jun-14,1085.70,362.08,289.60,348.65,336.12,326.39,0,210.57,0,0
42,Mar-14,1158.81,310.08,304.30,320.37,307.85,301.24,0,217.60,0,2.27
43,Dec-13,1188.36,301.60,277.26,328.75,316.23,312.11,0,213.59,0,0
44,Sep-13,1101.28,295.78,301.39,365.35,355.38,352.93,0,236.27,0,2.46
45,Jun-13,973.25,279.66,282.83,364.43,354.45,352.81,0,224.64,0,0
46,Mar-13,964.32,227.41,270.01,289.67,279.69,281.75,0,179.65,0,1.87
47,Dec-12,938.82,268.20,252.14,297.94,287.96,286.59,0,194.11,0,0
48,Sep-12,953.50,266.37,208.08,243.86,235.78,231.86,0,187.69,0,0
49,Jun-12,842.96,213.79,253.50,262.73,254.66,251.70,0,158.15,0,0
50,Mar-12,885.93,217.08,244.61,233.32,225.25,224.63,0,161.81,0,1.69
51,Dec-11,743.61,204.10,197.31,234.75,226.68,224.30,0,139.33,0,0
52,Sep-11,0,0,0,0,0,0,0,0,0,0
53,Jun-11,698.16,185.13,170.75,181.97,174.76,169.58,0,133.68,0,0
54,Mar-11,0,0,0,0,0,0,0,0,0,0
55,Dec-10,0,0,0,0,0,0,0,0,0,0
56,Sep-10,0,0,0,0,0,0,0,0,0,0
57,Jun-10,0,0,0,0,0,0,0,0,0,0
58,Mar-10,0,0,0,0,0,0,0,0,0,0
59,Dec-09,0,0,0,0,0,0,0,0,0,0
60,Sep-09,0,0,0,0,0,0,0,0,0,0
61,Jun-09,0,0,0,0,0,0,0,0,0,0
62,Mar-09,0,0,0,0,0,0,0,0,0,0
63,Dec-08,0,0,0,0,0,0,0,0,0,0
64,Sep-08,0,0,0,0,0,0,0,0,0,0
65,Jun-08,0,0,0,0,0,0,0,0,0,0
66,Mar-08,0,0,0,0,0,0,0,0,0,0
67,Dec-07,0,0,0,0,0,0,0,0,0,0
68,Sep-07,0,0,0,0,0,0,0,0,0,0
69,Jun-07,0,0,0,0,0,0,0,0,0,0
70,Mar-07,0,0,0,0,0,0,0,0,0,0
71,Dec-06,0,0,0,0,0,0,0,0,0,0
72,Sep-06,0,0,0,0,0,0,0,0,0,0
73,Jun-06,0,0,0,0,0,0,0,0,0,0
74,Mar-06,0,0,0,0,0,0,0,0,0,0
75,Dec-05,0,0,0,0,0,0,0,0,0,0
76,Sep-05,0,0,0,0,0,0,0,0,0,0
77,Jun-05,0,0,0,0,0,0,0,0,0,0
78,Mar-05,0,0,0,0,0,0,0,0,0,0
79,Dec-04,0,0,0,0,0,0,0,0,0,0
80,Sep-04,0,0,0,0,0,0,0,0,0,0
81,Jun-04,0,0,0,0,0,0,0,0,0,0
82,Mar-04,0,0,0,0,0,0,0,0,0,0
83,Dec-03,0,0,0,0,0,0,0,0,0,0
